nombre_validaciones,nombre_oficial,nombre_matriz
21 ANGELES,21 Ángeles,21 Ángeles
7 de Agosto,7 de Agosto,7 de agosto
ALQUERIA,Alquería,Alquería
AV. CHILE,AV. Chile,AV. Chile
Alcalá,Alcalá – Colegio S. Tomás Dominicos,Alcalá - Col. S. Tomás Dominicos
Ampliacion San Mateo,San Mateo - CC Unisur,San Mateo
Américas - Cr.53,Banderas,Banderas
Av. Américas - Av. Boyacá,AV. Américas - AV. Boyacá,Av. Américas - Av. Boyacá
Av. El Dorado,AV. ElDorado,Av. El Dorado
Av. Primero de Mayo,AV. 1 Mayo,AV. 1° Mayo
Av. Rojas,Avenida Rojas - UNISALESIANA,AV. Rojas - UNISALESIANA
Av. Suba- Calle 116,Suba - Calle 116,AV. Suba - Calle 116
Avenida 39,AV. 39,Av. 39
Avenida 68,AV. 68,AV. 68
Avenida Boyaca,AV. Boyacá,Boyacá
Avenida Ciudad de Cali,AV. Cali,AV. Ciudad de Cali
Avenida Jimenez,AV. Jiménez - Caracas,AV. Jiménez
Banderas P. Central,Banderas,Banderas
Biblioteca,Biblioteca,Biblioteca
Bicentenario,Bicentenario,Bicentenario
Bosa,Bosa,Bosa
CAD,CAD,CAD
CAN,CAN,CAN - British Council
CASTELLANA,La Castellana,La Castellana
CDS - Carrera 32,CDS - Carrera 32,CDS - Cra. 32
COMUNEROS,Comuneros,Comuneros
Cabecera Autopista Norte,Terminal,Terminal
Cabecera Calle 80,Portal 80,Portal 80
Cabecera Usme,Portal Usme,Portal Usme
Cable Portal Tunal,Portal Tunal,Portal Tunal
Calle 100 - Marketmedios,Calle 100 - Marketmedios,Calle 100 - Marketmedios
Calle 106,Calle 161,Calle 161
Calle 127,Calle 127,Calle 127
Calle 142,Calle 142,Calle 142
Calle 146,Calle 146,Calle 146
Calle 161,Calle 161,Calle 161
Calle 19,Calle 19,Calle 19
Calle 22,Marly,Temporal - Marly
Calle 26,Calle 26,Calle 26
Calle 34,Temporal Calle 34,Temporal - Calle 34
Calle 40 Sur,Calle 40 Sur,Calle 40 Sur
Calle 45,Calle 45 - American School Way,Calle 45
Calle 57,Temporal Calle 57,Temporal - Calle 57
Calle 63,Calle 63,Calle 63
Calle 72,Calle 72,Calle 72
Calle 75 - Zona M,Calle 75 - Zona M,Calle 75
Calle 76 - San Felipe,Calle 76 - San Felipe,Calle 76
Calle 85,Calle 85,Calle 187
Carrera 22,San Facon Carrera 22,Carrera 22
Carrera 43 - COMAPAN,Carrera 43 - Comapan,Carrera 43 - COMAPAN
Carrera 47,Carrera 47,KR 47
Carrera 53,Carrera 53,KR 53
Carrera 77,Carrera 47,Granja - KR 77
Carrera 90,Carrera 90,KR 90
Centro Comercial Santa Fe,Calle 106 - Maletas Explora,Calle 106
Centro Memoria,Centro Memoria,Centro Memoria
Ciudad Jardín,Ciudad Jardín - UAN,Ciudad Jardín
Ciudad Universitaria - Loteria de Bogota,Ciudad Universitaria - Lotería de Bogotá,C. Universitaria - Lotería de Btá.
Concejo de Bogotá,Concejo de Bogotá,Concejo de Bogotá
Consuelo,Consuelo,Consuelo
